Performing system checks...

System check identified no issues (0 silenced).
March 11, 2022 - 17:10:48
[11/Mar/2022 18:02:58] "GET /static/images/folder.png HTTP/1.1" 304 0
[11/Mar/2022 18:02:58] "GET /static/images/favicon.ico HTTP/1.1" 200 932
[11/Mar/2022 18:02:58] "GET /opds/thumb/115204/ HTTP/1.1" 200 2920
[11/Mar/2022 18:06:38] "GET /web/search/books/?searchtype=i&searchterms=115204 HTTP/1.1" 200 12370
[11/Mar/2022 18:06:38] "GET /opds/thumb/36245/ HTTP/1.1" 200 3694
[11/Mar/2022 18:06:40] "GET /web/search/books/?searchtype=i&searchterms=36245 HTTP/1.1" 200 12509
[11/Mar/2022 18:06:40] "GET /opds/thumb/53030/ HTTP/1.1" 200 2347
[11/Mar/2022 18:06:41] "GET /web/search/books/?searchtype=i&searchterms=53030 HTTP/1.1" 200 12075
[11/Mar/2022 18:06:41] "GET /opds/thumb/137636/ HTTP/1.1" 200 3694
[11/Mar/2022 18:06:43] "GET /web/search/books/?searchtype=i&searchterms=137636 HTTP/1.1" 200 11697
[11/Mar/2022 18:06:43] "GET /opds/thumb/105134/ HTTP/1.1" 200 2629
[11/Mar/2022 18:06:45] "GET /web/search/books/?searchtype=i&searchterms=105134 HTTP/1.1" 200 11181
[11/Mar/2022 18:06:45] "GET /opds/thumb/37661/ HTTP/1.1" 200 3694
[11/Mar/2022 18:06:50] "GET /web/search/books/?searchtype=i&searchterms=37661 HTTP/1.1" 200 11470
[11/Mar/2022 18:06:50] "GET /opds/thumb/83473/ HTTP/1.1" 200 2836
[11/Mar/2022 18:06:57] "GET /web/search/books/?searchtype=i&searchterms=83473 HTTP/1.1" 200 11888
[11/Mar/2022 18:06:58] "GET /opds/thumb/52977/ HTTP/1.1" 200 2878
[11/Mar/2022 18:07:00] "GET /web/search/books/?searchtype=i&searchterms=52977 HTTP/1.1" 200 11012
[11/Mar/2022 18:07:01] "GET /opds/thumb/103509/ HTTP/1.1" 200 3694
[11/Mar/2022 18:07:03] "GET /web/search/books/?searchtype=i&searchterms=103509 HTTP/1.1" 200 11321
[11/Mar/2022 18:07:04] "GET /opds/thumb/117822/ HTTP/1.1" 200 3001
[11/Mar/2022 18:07:06] "GET /web/search/books/?searchtype=i&searchterms=117822 HTTP/1.1" 200 12279
[11/Mar/2022 18:07:06] "GET /opds/thumb/133418/ HTTP/1.1" 200 2912
[11/Mar/2022 18:07:13] "GET /web/catalog/ HTTP/1.1" 200 16486
[11/Mar/2022 18:07:13] "GET /opds/thumb/12179/ HTTP/1.1" 200 3144
[11/Mar/2022 18:11:10] "GET /web/catalog/ HTTP/1.1" 200 16447
[11/Mar/2022 18:11:10] "GET /static/css/sopds.css HTTP/1.1" 304 0
[11/Mar/2022 18:11:10] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[11/Mar/2022 18:11:10] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 304 0
[11/Mar/2022 18:11:10] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 18:11:10] "GET /static/images/text.png HTTP/1.1" 304 0
[11/Mar/2022 18:11:10] "GET /static/images/folder.png HTTP/1.1" 304 0
[11/Mar/2022 18:11:10] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[11/Mar/2022 18:11:10] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[11/Mar/2022 18:11:10] "GET /opds/thumb/54235/ HTTP/1.1" 200 2851
[11/Mar/2022 18:29:22] "GET /web/search/books/?searchtype=i&searchterms=117822 HTTP/1.1" 200 12695
[11/Mar/2022 18:29:22] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 18:29:22] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[11/Mar/2022 18:29:22] "GET /static/css/sopds.css HTTP/1.1" 304 0
[11/Mar/2022 18:29:22] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 304 0
[11/Mar/2022 18:29:22] "GET /static/images/sopds_logo.gif HTTP/1.1" 200 1672
[11/Mar/2022 18:29:22] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[11/Mar/2022 18:29:22] "GET /opds/thumb/13783/ HTTP/1.1" 200 4416
[11/Mar/2022 18:29:22] "GET /opds/thumb/117822/ HTTP/1.1" 200 3001
[11/Mar/2022 18:29:24] "GET /web/search/books/?searchtype=i&searchterms=117822 HTTP/1.1" 200 12439
[11/Mar/2022 18:29:24] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 18:29:24] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[11/Mar/2022 18:29:24] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[11/Mar/2022 18:29:24] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[11/Mar/2022 18:29:24] "GET /opds/thumb/117822/ HTTP/1.1" 200 3001
[11/Mar/2022 18:29:24] "GET /opds/thumb/66444/ HTTP/1.1" 200 3033
[11/Mar/2022 18:29:27] "GET /web/search/books/?searchtype=i&searchterms=117822 HTTP/1.1" 200 12600
[11/Mar/2022 18:29:27] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 18:29:27] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[11/Mar/2022 18:29:27] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[11/Mar/2022 18:29:27] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[11/Mar/2022 18:29:27] "GET /opds/thumb/117822/ HTTP/1.1" 200 3001
[11/Mar/2022 18:29:27] "GET /opds/thumb/20582/ HTTP/1.1" 200 2475
[11/Mar/2022 18:29:30] "GET /web/search/books/?searchtype=i&searchterms=117822 HTTP/1.1" 200 12263
[11/Mar/2022 18:29:30] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 18:29:30] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[11/Mar/2022 18:29:30] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[11/Mar/2022 18:29:30] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[11/Mar/2022 18:29:30] "GET /opds/thumb/117822/ HTTP/1.1" 200 3001
[11/Mar/2022 18:29:30] "GET /opds/thumb/100554/ HTTP/1.1" 200 2192
[11/Mar/2022 18:29:34] "GET /web/catalog/ HTTP/1.1" 200 16139
[11/Mar/2022 18:29:34] "GET /static/images/folder.png HTTP/1.1" 304 0
[11/Mar/2022 18:29:34] "GET /static/images/text.png HTTP/1.1" 304 0
[11/Mar/2022 18:29:34] "GET /opds/thumb/127742/ HTTP/1.1" 200 2802
[11/Mar/2022 18:29:48] "GET /web/search/books/?searchtype=i&searchterms=6 HTTP/1.1" 200 10836
[11/Mar/2022 18:29:48] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[11/Mar/2022 18:29:48] "GET /opds/thumb/49660/ HTTP/1.1" 200 3468
[11/Mar/2022 18:29:52] "GET /opds/download/6/0/ HTTP/1.1" 200 223531
[11/Mar/2022 18:30:11] "GET /web/catalog/ HTTP/1.1" 200 16794
[11/Mar/2022 18:30:11] "GET /opds/thumb/36112/ HTTP/1.1" 200 3638
[11/Mar/2022 18:30:17] "GET /web/search/books/?searchtype=i&searchterms=6 HTTP/1.1" 200 11157
[11/Mar/2022 18:30:17] "GET /opds/thumb/120534/ HTTP/1.1" 200 2557
[11/Mar/2022 18:30:25] "GET /web/catalog/ HTTP/1.1" 200 16841
[11/Mar/2022 18:30:25] "GET /opds/thumb/15727/ HTTP/1.1" 200 3694
[11/Mar/2022 18:30:28] "GET /web/search/books/?searchtype=i&searchterms=14 HTTP/1.1" 200 14402
[11/Mar/2022 18:30:28] "GET /opds/thumb/32325/ HTTP/1.1" 200 3333
[11/Mar/2022 18:30:28] "GET /opds/thumb/14/ HTTP/1.1" 200 2595
[11/Mar/2022 18:30:46] "GET /web/search/books/?searchtype=i&searchterms=2 HTTP/1.1" 200 10596
[11/Mar/2022 18:30:46] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[11/Mar/2022 18:30:46] "GET /opds/thumb/99629/ HTTP/1.1" 200 3005
[11/Mar/2022 18:30:48] "GET /opds/download/2/0/ HTTP/1.1" 200 104715
[11/Mar/2022 18:31:05] "GET /web/catalog/ HTTP/1.1" 200 17180
[11/Mar/2022 18:31:05] "GET /opds/thumb/52291/ HTTP/1.1" 200 2595
[11/Mar/2022 18:31:20] "GET /web/search/books/?csrfmiddlewaretoken=LL2dougUnSoruObHoLQcmIrwTy9GUolLCtNwju4M7UmrBAHs3A73wbPDj5TD2CuZ&searchterms=+%D0%97%D0%90%D0%9F%D0%98%D0%A1%D0%9A%D0%98+%D0%9F%D0%A1%D0%98%D0%A5%D0%9E%D0%9D%D0%90%D0%92%D0%A2%D0%90&submit=&page=0&searchtype=m HTTP/1.1" 200 10748
[11/Mar/2022 18:31:20] "GET /opds/thumb/152645/ HTTP/1.1" 200 3694
[11/Mar/2022 18:31:35] "GET /web/search/books/?csrfmiddlewaretoken=EEKZdPPf5OkIFXpRsHw302u1WdUw2K38vmvi8PD7PQiIMJVC7wNUavS8mKEtaYcm&searchterms=%D0%97%D0%90%D0%9F%D0%98%D0%A1%D0%9A%D0%98+%D0%9F%D0%A1%D0%98%D0%A5%D0%9E%D0%9D%D0%90%D0%92%D0%A2%D0%90&submit=&page=0&searchtype=m HTTP/1.1" 200 11137
[11/Mar/2022 18:31:35] "GET /opds/thumb/142307/ HTTP/1.1" 200 3628
[11/Mar/2022 18:31:44] "GET /web/search/books/?csrfmiddlewaretoken=qgfPU9v9G53tZ8U6gT55ZHkeiNdOu9RPhY08P9j1q71t6UqRVImW9aIlIkXLCn03&searchterms=%D0%97%D0%90%D0%9F%D0%98%D0%A1%D0%9A%D0%98+%D0%9F%D0%A1%D0%98%D0%A5%D0%9E%D0%9D%D0%90%D0%92%D0%A2&submit=&page=0&searchtype=m HTTP/1.1" 200 11121
[11/Mar/2022 18:31:44] "GET /opds/thumb/22616/ HTTP/1.1" 200 3694
[11/Mar/2022 19:43:49] "GET /web/catalog/ HTTP/1.1" 200 17218
[11/Mar/2022 19:43:49] "GET /static/css/sopds.css HTTP/1.1" 304 0
[11/Mar/2022 19:43:49] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 304 0
[11/Mar/2022 19:43:49] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 19:43:49] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[11/Mar/2022 19:43:49] "GET /static/images/folder.png HTTP/1.1" 304 0
[11/Mar/2022 19:43:49] "GET /static/images/text.png HTTP/1.1" 304 0
[11/Mar/2022 19:43:49] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[11/Mar/2022 19:43:49] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[11/Mar/2022 19:43:49] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[11/Mar/2022 19:43:49] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[11/Mar/2022 19:43:50] "GET /opds/thumb/114592/ HTTP/1.1" 200 3694
[11/Mar/2022 21:17:27] "GET /web/ HTTP/1.1" 200 7452
[11/Mar/2022 21:17:27] "GET /static/css/sopds.css HTTP/1.1" 200 73303
[11/Mar/2022 21:17:27] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 200 19508
[11/Mar/2022 21:17:27] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 200 109037
[11/Mar/2022 21:17:27] "GET /static/js/vendor/jquery.js HTTP/1.1" 200 258648
[11/Mar/2022 21:17:27] "GET /static/images/sopds_logo.gif HTTP/1.1" 200 1672
[11/Mar/2022 21:17:27] "GET /static/foundation-icons/foundation-icons.woff HTTP/1.1" 200 32020
[11/Mar/2022 21:50:30] "GET /web/catalog/ HTTP/1.1" 200 16451
[11/Mar/2022 21:50:30] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 21:50:30] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[11/Mar/2022 21:50:30] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 200 19508
[11/Mar/2022 21:50:30] "GET /static/css/sopds.css HTTP/1.1" 200 73303
[11/Mar/2022 21:50:30] "GET /static/images/sopds_logo.gif HTTP/1.1" 200 1672
[11/Mar/2022 21:50:30] "GET /static/images/folder.png HTTP/1.1" 200 7018
[11/Mar/2022 21:50:30] "GET /static/images/text.png HTTP/1.1" 200 16485
[11/Mar/2022 21:50:30] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[11/Mar/2022 21:50:30] "GET /opds/thumb/6/ HTTP/1.1" 200 3694
[11/Mar/2022 21:50:30] "GET /opds/thumb/2/ HTTP/1.1" 200 3694
[11/Mar/2022 21:50:30] "GET /opds/thumb/102839/ HTTP/1.1" 200 3694
[11/Mar/2022 21:50:38] "GET /admin/ HTTP/1.1" 200 4199
[11/Mar/2022 21:50:38] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[11/Mar/2022 21:50:38] "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[11/Mar/2022 21:50:38] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[11/Mar/2022 21:50:38] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[11/Mar/2022 21:50:38] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[11/Mar/2022 21:50:38] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[11/Mar/2022 21:50:38] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[11/Mar/2022 21:50:38] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[11/Mar/2022 21:50:40] "GET /admin/auth/user/add/ HTTP/1.1" 200 5459
[11/Mar/2022 21:50:40] "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[11/Mar/2022 21:50:40] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 21:50:40] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 495
[11/Mar/2022 21:50:40] "GET /static/admin/js/change_form.js HTTP/1.1" 200 712
[11/Mar/2022 21:50:40] "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
